capture_id,product,viewport,page_area,state,source_url,final_url,page_title,filename,absolute_path,captured_at_local,width_px,height_px,file_size_bytes,document_scroll_width,document_scroll_height,auto_scroll_iterations,reached_bottom,popup_action,authentication_state,status,attempt_count,failure_reason,related_pa1_figure,related_pa1_use_case,notes_factual_only
"fifa-01-homepage-desktop","fifa","desktop","homepage","homepage","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-01-homepage-desktop.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-01-homepage-desktop.png","2026-07-30 14:45:36 +07:00","1440","9032","4591249","1440","9032","16","true","Reject All","PUBLIC","SUCCESS","1","","F-01","F-UC1","Popup action: Reject All."
"fifa-02-global-navigation-desktop","fifa","desktop","global navigation","default","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-02-global-navigation-desktop.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-02-global-navigation-desktop.png","2026-07-30 14:46:28 +07:00","1440","9004","4750428","1440","9004","14","true","Reject All","PUBLIC","SUCCESS","1","","F-02","","Popup action: Reject All."
"fifa-03-homepage-hero-desktop","fifa","desktop","homepage hero","default","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-03-homepage-hero-desktop.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-03-homepage-hero-desktop.png","2026-07-30 14:47:07 +07:00","1440","9004","4750428","1440","9004","17","true","Reject All","PUBLIC","SUCCESS","1","","F-01","","Popup action: Reject All."
"fifa-06-match-centre","fifa","desktop","Match Centre","default","https://www.fifa.com/en/match-centre","https://www.fifa.com/en/match-centre","Match Centre","fifa-06-match-centre.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-06-match-centre.png","2026-07-30 14:47:35 +07:00","1440","2380","262238","1440","2380","4","true","Reject All","PUBLIC","SUCCESS","1","","F-04","F-UC1","Popup action: Reject All."
"fifa-07-match-centre-today","fifa","desktop","Match Centre","Today","https://www.fifa.com/en/match-centre","https://www.fifa.com/en/match-centre","Match Centre","fifa-07-match-centre-today.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-07-match-centre-today.png","2026-07-30 14:48:10 +07:00","1440","2365","290653","1440","2365","4","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","clickRole unavailable: locator.waitFor: Timeout 8000ms exceeded.","","F-UC1","Popup action: Reject All."
"fifa-08-match-centre-live","fifa","desktop","Match Centre","Live","https://www.fifa.com/en/match-centre","https://www.fifa.com/en/match-centre","Match Centre","fifa-08-match-centre-live.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-08-match-centre-live.png","2026-07-30 14:48:45 +07:00","1440","2365","305479","1440","2365","4","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","clickRole unavailable: locator.waitFor: Timeout 8000ms exceeded.","","F-UC2","Popup action: Reject All."
"fifa-09-match-centre-results","fifa","desktop","Match Centre","Results","https://www.fifa.com/en/match-centre","https://www.fifa.com/en/match-centre","Match Centre","fifa-09-match-centre-results.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-09-match-centre-results.png","2026-07-30 14:49:19 +07:00","1440","2365","305479","1440","2365","4","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","clickRole unavailable: locator.waitFor: Timeout 8000ms exceeded.","","F-UC2","Popup action: Reject All."
"fifa-10-match-centre-filters","fifa","desktop","Match Centre","filters open","https://www.fifa.com/en/match-centre","https://www.fifa.com/en/match-centre","Match Centre","fifa-10-match-centre-filters.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-10-match-centre-filters.png","2026-07-30 14:49:47 +07:00","1440","2380","239833","1440","2380","4","true","Reject All","PUBLIC","SUCCESS","1","","F-04","","Popup action: Reject All."
"fifa-11-search-page","fifa","desktop","search","query loaded","https://www.fifa.com/en/search?q=world%20cup","https://www.fifa.com/en/search?q=world+cup","","fifa-11-search-page.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-11-search-page.png","2026-07-30 14:50:14 +07:00","1440","5699","2423213","1440","5699","6","true","Reject All","PUBLIC","SUCCESS","1","","F-05","F-UC5","Popup action: Reject All. Page final URL: https://www.fifa.com/en/search?q=world+cup."
"fifa-12-search-results-mixed-content","fifa","desktop","search results","multiple content types","https://www.fifa.com/en/search?q=world%20cup","https://www.fifa.com/en/search?q=world+cup","","fifa-12-search-results-mixed-content.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-12-search-results-mixed-content.png","2026-07-30 14:50:42 +07:00","1440","5699","2420825","1440","5699","6","true","Reject All","PUBLIC","SUCCESS","1","","F-05","F-UC5","Popup action: Reject All. Page final URL: https://www.fifa.com/en/search?q=world+cup."
"fifa-13-news-article-full","fifa","desktop","news article","full article","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","FIFA World Cup 26™ Ticketing Programme launches this September","fifa-13-news-article-full.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-13-news-article-full.png","2026-07-30 14:51:09 +07:00","1440","5265","1768835","1440","5265","4","true","Reject All","PUBLIC","SUCCESS","1","","F-06","F-UC3","Popup action: Reject All."
"fifa-14-article-header","fifa","desktop","article header","default","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","FIFA World Cup 26™ Ticketing Programme launches this September","fifa-14-article-header.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-14-article-header.png","2026-07-30 14:51:35 +07:00","1440","5265","1773534","1440","5265","4","true","Reject All","PUBLIC","SUCCESS","1","","F-06","F-UC3","Popup action: Reject All."
"fifa-15-article-body","fifa","desktop","article body","loaded","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","FIFA World Cup 26™ Ticketing Programme launches this September","fifa-15-article-body.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-15-article-body.png","2026-07-30 14:52:02 +07:00","1440","5265","1773534","1440","5265","4","true","Reject All","PUBLIC","SUCCESS","1","","F-06","F-UC3","Popup action: Reject All."
"fifa-16-tournament-landing","fifa","desktop","tournament","landing","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","FIFA World Cup 2026™","fifa-16-tournament-landing.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-16-tournament-landing.png","2026-07-30 14:52:35 +07:00","1440","11554","4848550","1440","11554","20","true","Reject All","PUBLIC","SUCCESS","1","","F-07","F-UC4","Popup action: Reject All."
